Symbol,Score,Loss,Under
HKG:1308,8.60,42.0%,U
HKG:0316,7.54,42.4%,U
HKG:3316,7.98,42.4%,U
HKG:6821,7.38,42.4%,U
HKG:0546,6.32,42.0%,U
HKG:1935,7.23,42.4%,U
HKG:1425,7.05,42.4%,U
HKG:0327,6.27,42.0%,U
HKG:0883,7.01,42.4%,U
HKG:1419,6.62,42.0%,U
HKG:0639,6.58,42.0%,U
HKG:1373,7.67,44.1%,U
HKG:3998,6.89,42.0%,U
HKG:0240,5.51,43.1%,U
HKG:9909,7.25,42.4%,U
HKG:6049,6.46,43.3%,U
HKG:2798,6.42,42.0%,U
HKG:6690,7.20,44.1%,U
HKG:0512,7.06,44.1%,U
HKG:0746,6.31,42.0%,U
HKG:1549,5.52,43.1%,U
HKG:3833,5.43,43.1%,U
HKG:2193,5.13,43.1%,U
HKG:9616,6.10,42.0%,U
HKG:1171,5.69,43.1%,U
HKG:1969,6.89,42.0%,U
HKG:1145,5.28,43.1%,U
HKG:0992,7.22,42.4%,U
HKG:3320,6.24,42.0%,U
HKG:1866,5.85,43.1%,U
HKG:0382,6.23,42.0%,U
HKG:3369,5.83,43.1%,U
HKG:1455,5.48,43.1%,U
HKG:2155,5.77,43.1%,U
HKG:2232,6.03,42.0%,U
HKG:0956,5.39,43.1%,U
HKG:8319,5.71,43.1%,U
HKG:1799,5.03,43.1%,U
HKG:1451,5.37,44.6%,U
HKG:1100,5.47,43.1%,U
HKG:3838,5.14,43.1%,U
HKG:1836,6.48,42.8%,U
HKG:2633,5.73,44.6%,U
HKG:9979,5.42,44.1%,U
HKG:1127,5.74,43.1%,U
HKG:1995,7.15,42.4%,U
HKG:0609,5.35,43.1%,U
HKG:0144,6.15,42.8%,U
HKG:6098,6.55,42.0%,U
HKG:1513,7.74,42.4%,U
HKG:0640,5.62,43.1%,U
HKG:2686,7.00,42.0%,U
HKG:1618,5.96,43.1%,U
HKG:1045,5.90,43.1%,U
HKG:0467,5.87,43.1%,U
HKG:2371,5.86,43.1%,U
HKG:6127,7.47,43.1%,O
HKG:2199,5.81,43.1%,U
HKG:1093,7.88,42.7%,U
HKG:0839,6.16,42.0%,U
HKG:1692,5.70,43.1%,U
HKG:2343,4.36,43.7%,U
HKG:1755,6.48,42.0%,U
HKG:1851,5.54,43.1%,U
HKG:3658,5.47,43.1%,U
HKG:9933,4.00,44.5%,U
HKG:0380,5.40,43.1%,U
HKG:1346,4.78,43.7%,U
HKG:0608,4.66,43.7%,U
HKG:3396,5.28,43.1%,U
HKG:0777,7.38,42.4%,U
HKG:0135,5.30,43.1%,U
HKG:8037,4.19,43.7%,U
HKG:0392,5.16,43.1%,U
HKG:1358,4.50,43.7%,U
HKG:6117,5.52,43.1%,U
HKG:6123,5.95,43.1%,U
HKG:1982,5.48,43.1%,U
HKG:1601,4.18,43.7%,U
HKG:1412,5.45,43.1%,U
HKG:0280,7.07,42.4%,U
HKG:8476,6.49,43.3%,U
HKG:1277,6.97,42.0%,U
HKG:0333,4.65,43.7%,U
HKG:1643,4.92,43.7%,U
HKG:9983,6.23,42.0%,U
HKG:3700,5.27,43.1%,U
HKG:2669,7.41,43.1%,O
HKG:1126,5.25,43.1%,U
HKG:1461,5.21,43.1%,U
HKG:2878,5.50,44.7%,O
HKG:2115,4.68,44.7%,U
HKG:0142,5.60,43.1%,U
HKG:1286,5.27,44.7%,O
HKG:3948,5.56,43.1%,U
HKG:0297,6.01,42.0%,U
HKG:0973,6.55,42.0%,U
HKG:0816,5.57,43.1%,U
HKG:2333,4.94,43.7%,U
HKG:0669,7.17,42.4%,U
HKG:3800,3.54,44.5%,U
HKG:1433,4.89,43.7%,U
HKG:9618,6.23,43.3%,U
HKG:3737,5.24,43.1%,U
HKG:0311,4.82,43.7%,U
HKG:1975,6.97,42.0%,U
HKG:0838,5.22,44.1%,U
HKG:1480,5.35,43.1%,U
HKG:0857,6.22,42.0%,U
HKG:0028,4.68,46.0%,U
HKG:0458,4.73,43.7%,U
HKG:3330,3.39,44.5%,U
HKG:3337,4.77,45.2%,U
HKG:2057,6.39,43.2%,O
HKG:1627,4.60,43.7%,U
HKG:6989,6.60,42.0%,U
HKG:2130,5.79,44.1%,U
HKG:1347,5.67,44.9%,O
HKG:0219,4.53,43.7%,U
HKG:2359,6.83,43.2%,O
HKG:0189,5.39,44.0%,U
HKG:1339,6.65,42.0%,U
HKG:3698,5.84,43.1%,U
HKG:0113,4.49,43.7%,U
HKG:8368,4.47,43.7%,U
HKG:0253,4.47,43.7%,U
HKG:2182,5.26,43.1%,U
HKG:2166,6.40,42.0%,U
HKG:0610,4.73,43.7%,U
HKG:3311,5.29,43.1%,U
HKG:1965,4.03,43.7%,U
HKG:6858,5.09,43.1%,U
HKG:1772,6.31,43.2%,O
HKG:0334,4.27,43.7%,U
HKG:2660,7.86,42.4%,U
HKG:0725,3.92,44.5%,U
HKG:6100,6.39,43.0%,U
HKG:6869,5.23,45.2%,O
HKG:2368,5.98,43.1%,U
HKG:6878,4.46,43.7%,U
HKG:1908,3.99,46.6%,U
HKG:2129,4.08,43.7%,U
HKG:1555,4.51,46.0%,U
HKG:0866,4.41,43.7%,U
HKG:1585,6.61,43.2%,O
HKG:1203,4.40,43.7%,U
HKG:1999,7.40,42.4%,U
HKG:0798,4.47,45.8%,O
