                      year    month      time      cfc11
                      1977       1     1977.00    139.90
                      1977       2     1977.08    139.50
                      1977       3     1977.17    139.00
                      1977       4     1977.25    134.10
                      1977       5     1977.33    135.00
                      1977       6     1977.42    143.40
                      1977       7     1977.50    140.30
                      1977       8     1977.58    142.60
                      1977       9     1977.67    144.70
                      1977      10     1977.75    144.20
                      1977      11     1977.83    144.80
                      1977      12     1977.92    145.70
                      1978       1     1978.00    148.60
                      1978       2     1978.08    144.80
                      1978       3     1978.17    148.40
                      1978       4     1978.25    147.90
                      1978       5     1978.33    149.90
                      1978       6     1978.42    149.50
                      1978       7     1978.50    152.70
                      1978       8     1978.58    151.90
                      1978       9     1978.67    155.10
                      1978      10     1978.75    153.20
                      1978      11     1978.83    154.90
                      1978      12     1978.92    154.70
                      1979       1     1979.00    157.40
                      1979       2     1979.08    157.50
                      1979       3     1979.17    158.80
                      1979       4     1979.25    158.00
                      1979       5     1979.33    157.10
                      1979       6     1979.42    157.60
                      1979       7     1979.50    159.80
                      1979       8     1979.58    NA 
                      1979       9     1979.67    163.30
                      1979      10     1979.75    168.40
                      1979      11     1979.83    166.50
                      1979      12     1979.92    165.30
                      1980       1     1980.00    167.10
                      1980       2     1980.08    165.80
                      1980       3     1980.17    168.10
                      1980       4     1980.25    169.80
                      1980       5     1980.33    165.80
                      1980       6     1980.42    169.70
                      1980       7     1980.50    171.30
                      1980       8     1980.58    171.90
                      1980       9     1980.67    169.90
                      1980      10     1980.75    173.40
                      1980      11     1980.83    175.70
                      1980      12     1980.92    172.70
                      1981       1     1981.00    172.10
                      1981       2     1981.08    175.20
                      1981       3     1981.17    176.20
                      1981       4     1981.25    176.60
                      1981       5     1981.33    176.80
                      1981       6     1981.42    177.60
                      1981       7     1981.50    180.00
                      1981       8     1981.58    179.10
                      1981       9     1981.67    182.20
                      1981      10     1981.75    182.10
                      1981      11     1981.83    181.50
                      1981      12     1981.92    183.80
                      1982       1     1982.00    181.40
                      1982       2     1982.08    183.00
                      1982       3     1982.17    182.50
                      1982       4     1982.25    183.40
                      1982       5     1982.33    185.10
                      1982       6     1982.42    184.70
                      1982       7     1982.50    184.90
                      1982       8     1982.58    186.20
                      1982       9     1982.67    188.20
                      1982      10     1982.75    188.70
                      1982      11     1982.83    189.10
                      1982      12     1982.92    188.20
                      1983       1     1983.00    189.90
                      1983       2     1983.08    191.10
                      1983       3     1983.17    192.70
                      1983       4     1983.25    192.80
                      1983       5     1983.33    194.10
                      1983       6     1983.42    197.60
                      1983       7     1983.50    197.30
                      1983       8     1983.58    197.40
                      1983       9     1983.67    198.90
                      1983      10     1983.75    198.70
                      1983      11     1983.83    198.60
                      1983      12     1983.92    201.00
                      1984       1     1984.00    200.70
                      1984       2     1984.08    201.70
                      1984       3     1984.17    200.60
                      1984       4     1984.25    202.80
                      1984       5     1984.33    201.70
                      1984       6     1984.42    203.00
                      1984       7     1984.50    203.60
                      1984       8     1984.58    205.10
                      1984       9     1984.67    206.60
                      1984      10     1984.75    209.40
                      1984      11     1984.83    212.30
                      1984      12     1984.92    211.70
                      1985       1     1985.00    212.50
                      1985       2     1985.08    212.00
                      1985       3     1985.17    215.60
                      1985       4     1985.25    213.80
                      1985       5     1985.33    215.20
                      1985       6     1985.42    216.60
                      1985       7     1985.50    215.40
                      1985       8     1985.58    216.80
                      1985       9     1985.67    217.40
                      1985      10     1985.75    221.20
                      1985      11     1985.83    219.40
                      1985      12     1985.92    224.00
                      1986       1     1986.00    218.80
                      1986       2     1986.08    219.10
                      1986       3     1986.17    222.50
                      1986       4     1986.25    227.70
                      1986       5     1986.33    226.00
                      1986       6     1986.42    225.70
                      1986       7     1986.50    227.00
                      1986       8     1986.58    227.40
                      1986       9     1986.67    231.60
                      1986      10     1986.75    232.70
                      1986      11     1986.83    232.80
                      1986      12     1986.92    233.10
                      1987       1     1987.00    233.00
                      1987       2     1987.08    NA 
                      1987       3     1987.17    235.40
                      1987       4     1987.25    237.50
                      1987       5     1987.33    NA 
                      1987       6     1987.42    237.30
                      1987       7     1987.50    236.90
                      1987       8     1987.58    238.10
                      1987       9     1987.67    241.00
                      1987      10     1987.75    243.30
                      1987      11     1987.83    243.20
                      1987      12     1987.92    240.80
                      1988       1     1988.00    240.50
                      1988       2     1988.08    244.90
                      1988       3     1988.17    241.60
                      1988       4     1988.25    246.90
                      1988       5     1988.33    247.10
                      1988       6     1988.42    248.20
                      1988       7     1988.50    248.10
                      1988       8     1988.58    249.20
                      1988       9     1988.67    251.50
                      1988      10     1988.75    252.00
                      1988      11     1988.83    256.60
                      1988      12     1988.92    251.40
                      1989       1     1989.00    255.60
                      1989       2     1989.08    253.60
                      1989       3     1989.17    255.20
                      1989       4     1989.25    257.40
                      1989       5     1989.33    257.50
                      1989       6     1989.42    258.80
                      1989       7     1989.50    257.90
                      1989       8     1989.58    260.00
                      1989       9     1989.67    261.90
                      1989      10     1989.75    261.70
                      1989      11     1989.83    261.80
                      1989      12     1989.92    262.20
                      1990       1     1990.00    263.70
                      1990       2     1990.08    262.90
                      1990       3     1990.17    263.60
                      1990       4     1990.25    262.30
                      1990       5     1990.33    263.30
                      1990       6     1990.42    266.80
                      1990       7     1990.50    263.90
                      1990       8     1990.58    264.00
                      1990       9     1990.67    263.50
                      1990      10     1990.75    267.20
                      1990      11     1990.83    265.50
                      1990      12     1990.92    269.30
                      1991       1     1991.00    269.00
                      1991       2     1991.08    265.30
                      1991       3     1991.17    268.10
                      1991       4     1991.25    270.00
                      1991       5     1991.33    271.00
                      1991       6     1991.42    267.30
                      1991       7     1991.50    270.00
                      1991       8     1991.58    268.90
                      1991       9     1991.67    268.60
                      1991      10     1991.75    267.90
                      1991      11     1991.83    271.40
                      1991      12     1991.92    273.40
                      1992       1     1992.00    272.00
                      1992       2     1992.08    271.60
                      1992       3     1992.17    269.30
                      1992       4     1992.25    273.30
                      1992       5     1992.33    273.50
                      1992       6     1992.42    272.00
                      1992       7     1992.50    272.20
                      1992       8     1992.58    272.50
                      1992       9     1992.67    273.60
                      1992      10     1992.75    274.50
                      1992      11     1992.83    275.00
                      1992      12     1992.92    275.40
                      1993       1     1993.00    275.80
                      1993       2     1993.08    274.30
                      1993       3     1993.17    275.00
                      1993       4     1993.25    271.60
                      1993       5     1993.33    273.20
                      1993       6     1993.42    274.60
                      1993       7     1993.50    273.60
                      1993       8     1993.58    272.50
                      1993       9     1993.67    274.10
                      1993      10     1993.75    273.80
                      1993      11     1993.83    275.50
                      1993      12     1993.92    275.50
                      1994      12     1994.92    272.55
                      1995       1     1995.00    272.04
                      1995       2     1995.08    272.23
                      1995       3     1995.17    272.30
                      1995       4     1995.25    271.15
                      1995       5     1995.33    271.16
                      1995       6     1995.42    271.02
                      1995       7     1995.50    270.10
                      1995       8     1995.58    271.34
                      1995       9     1995.67    271.21
                      1995      10     1995.75    271.53
                      1995      11     1995.83    271.40
                      1995      12     1995.92    NA 
                      1996       1     1996.00    271.30
                      1996       2     1996.08    271.23
                      1996       3     1996.17    271.37
                      1996       4     1996.25    271.37
                      1996       5     1996.33    271.52
                      1996       6     1996.42    270.34
                      1996       7     1996.50    270.03
                      1996       8     1996.58    269.57
                      1996       9     1996.67    270.08
                      1996      10     1996.75    269.61
                      1996      11     1996.83    269.76
                      1996      12     1996.92    269.43
                      1997       1     1997.00    269.65
                      1997       2     1997.08    269.84
                      1997       3     1997.17    268.89
                      1997       4     1997.25    268.67
                      1997       5     1997.33    268.90
                      1997       6     1997.42    268.49
                      1997       7     1997.50    268.06
                      1997       8     1997.58    268.27
                      1997       9     1997.67    268.34
                      1997      10     1997.75    268.55
                      1997      11     1997.83    268.43
                      1997      12     1997.92    268.43
                      1998       1     1998.00    267.65
                      1998       2     1998.08    268.13
                      1998       3     1998.17    267.73
                      1998       4     1998.25    267.33
                      1998       5     1998.33    266.92
                      1998       6     1998.42    266.62
                      1998       7     1998.50    266.22
                      1998       8     1998.58    266.42
                      1998       9     1998.67    265.89
                      1998      10     1998.75    265.75
                      1998      11     1998.83    266.01
                      1998      12     1998.92    265.96
                      1999       1     1999.00    265.87
                      1999       2     1999.08    265.98
                      1999       3     1999.17    265.67
                      1999       4     1999.25    265.50
                      1999       5     1999.33    265.30
                      1999       6     1999.42    264.92
                      1999       7     1999.50    264.09
                      1999       8     1999.58    263.98
                      1999       9     1999.67    264.19
                      1999      10     1999.75    264.49
                      1999      11     1999.83    264.23
                      1999      12     1999.92    264.45
                      2000       1     2000.00    264.39
                      2000       2     2000.08    264.05
                      2000       3     2000.17    264.02
                      2000       4     2000.25    263.50
                      2000       5     2000.33    263.60
                      2000       6     2000.42    263.72
                      2000       7     2000.50    263.59
                      2000       8     2000.58    263.49
                      2000       9     2000.67    263.45
                      2000      10     2000.75    263.52
                      2000      11     2000.83    263.76
                      2000      12     2000.92    263.45
                      2001       1     2001.00    263.66
                      2001       2     2001.08    263.79
                      2001       3     2001.17    263.39
                      2001       4     2001.25    262.98
                      2001       5     2001.33    262.18
                      2001       6     2001.42    262.25
                      2001       7     2001.50    262.28
                      2001       8     2001.58    261.54
                      2001       9     2001.67    261.39
                      2001      10     2001.75    261.68
                      2001      11     2001.83    262.07
                      2001      12     2001.92    261.88
                      2002       1     2002.00    261.21
                      2002       2     2002.08    260.70
                      2002       3     2002.17    260.72
                      2002       4     2002.25    259.92
                      2002       5     2002.33    259.47
                      2002       6     2002.42    259.39
                      2002       7     2002.50    258.79
