calories  carb  type
350       67    bakery
350       64    bakery
420       59    bakery
490       75    bakery
130       17    bakery
370       47    bakery
460       61    bakery
370       55    bakery
310       32    bakery
420       39    bakery
380       51    bakery
320       53    bakery
300       34    bakery
420       57    bakery
310       52    bakery
480       70    bakery
490       73    bakery
410       46    bakery
130       16    bakery
280       56    bakery
360       58    bakery
490       67    bakery
420       42    bakery
440       59    bakery
350       54    bakery
210       43    bakery
350       45    bakery
300       60    bakery
420       57    bakery
370       56    bakery
140       21    bakery
280       59    bakery
390       61    bakery
480       78    bakery
480       59    bakery
430       69    bakery
400       80    bakery
340       62    bakery
350       59    bakery
440       63    bakery
490       52    bakery
480       39    bistrobox
270       29    bistrobox
360       32    bistrobox
380       35    bistrobox
380       37    bistrobox
420       22    bistrobox
350       50    bistrobox
380       25    bistrobox
180       27    petite
170       22    petite
190       24    petite
170       24    petite
190       23    petite
180       23    petite
160       24    petite
190       21    petite
170       22    petite
350       30    hotbreakfast
300       33    hotbreakfast
350       31    hotbreakfast
500       41    hotbreakfast
290       33    hotbreakfast
140       25    hotbreakfast
320       43    hotbreakfast
350       30    hotbreakfast
 80       20    salad
400       47    sandwich
460       37    sandwich
360       43    sandwich
390       44    sandwich
350       48    sandwich
420       46    sandwich
390       36    sandwich
300       44    parfait
300       57    parfait
300       60    parfait
