Symbol,Score,Loss,Under
NASDAQ:PLAB,7.62,42.4%,U
NYSE:DHI,8.74,42.0%,U
NYSE:SKY,7.53,42.4%,U
NASDAQ:MPB,7.67,42.4%,U
NASDAQ:AVGO,7.36,42.4%,U
NYSE:IBP,7.24,42.4%,U
NYSE:BLD,7.50,42.4%,U
NASDAQ:AMKR,6.98,42.0%,U
NASDAQ:JMSB,7.29,42.4%,U
NYSE:KBH,6.95,42.0%,U
NASDAQ:MBUU,7.27,42.4%,U
NYSE:TOL,6.91,42.0%,U
NASDAQ:HUBG,7.11,42.4%,U
NASDAQ:FANG,6.87,42.0%,U
NASDAQ:QCOM,7.48,42.4%,U
NYSE:PHM,7.45,42.4%,U
NYSE:AGCO,7.44,42.4%,U
NYSE:BC,6.72,42.0%,U
NASDAQ:FUNC,7.74,42.4%,U
NASDAQ:PFG,7.50,42.7%,U
NASDAQ:BFST,6.94,42.0%,U
NASDAQ:LRCX,7.36,44.1%,U
NASDAQ:SYNA,6.65,42.0%,U
NYSE:NIC,6.60,42.0%,U
NYSE:NNI,6.59,42.0%,U
NASDAQ:ISTR,6.91,42.0%,U
NASDAQ:SMMF,7.63,42.4%,U
NYSE:HZO,6.90,42.0%,U
NASDAQ:ESSA,7.07,42.4%,U
NASDAQ:MGYR,6.71,42.0%,U
NASDAQ:PDCE,6.44,42.0%,U
NASDAQ:SBNY,7.07,42.4%,U
NASDAQ:SANM,6.39,42.0%,U
NASDAQ:UFPI,8.26,42.0%,U
NYSE:MTH,7.02,42.4%,U
NASDAQ:MNSB,6.37,42.0%,U
NASDAQ:BOTJ,6.66,42.0%,U
NASDAQ:DBX,6.96,42.0%,U
NASDAQ:KLAC,7.75,44.1%,U
NYSE:CTRA,6.58,42.0%,U
NYSE:DAC,6.88,42.0%,U
NASDAQ:BCBP,7.16,42.7%,U
NASDAQ:WAFD,6.84,42.0%,U
NYSE:IBA,6.60,42.0%,U
NASDAQ:GCBC,7.79,42.7%,U
NYSE:NFG,6.13,42.0%,U
NASDAQ:BWB,6.72,42.0%,U
NYSE:MHO,6.72,42.0%,U
NASDAQ:PLPC,6.08,42.0%,U
NYSE:EQNR,6.07,42.0%,U
NASDAQ:ARCB,7.02,42.4%,U
NYSE:MUSA,6.01,42.0%,U
NASDAQ:BPRN,7.34,42.4%,U
NASDAQ:PRFT,6.81,43.3%,U
NASDAQ:FCNCA,6.90,42.0%,U
NYSE:WAL,7.69,42.4%,U
NASDAQ:SMCI,5.93,43.1%,U
NYSE:ONTO,5.93,43.1%,U
NYSE:BCC,7.63,42.4%,U
NYSE:ETD,6.18,42.0%,U
NASDAQ:SAIA,7.14,44.1%,U
NASDAQ:GNTY,7.26,42.4%,U
NYSE:GMS,6.14,42.0%,U
NYSE:GSL,5.85,43.1%,U
NASDAQ:EPSN,6.17,43.3%,U
NASDAQ:FVCB,7.00,43.3%,U
NYSE:CADE,6.37,42.0%,U
NYSE:CMC,7.49,42.4%,U
NASDAQ:CFBK,7.07,42.4%,U
NASDAQ:FNLC,7.58,42.4%,U
NYSE:STM,7.04,42.4%,U
NYSE:SHEL,6.06,43.3%,U
NASDAQ:ULH,5.99,43.1%,U
NYSE:FERG,7.55,42.4%,U
NYSE:MCB,6.62,42.0%,U
NYSE:PII,5.71,43.1%,U
