Symbol,Score,Loss,Under
SGX:AGS,8.60,42.0%,U
SGX:P8Z,6.87,42.0%,U
SGX:AYN,6.05,42.0%,U
SGX:BEC,5.56,43.1%,U
SGX:S56,5.50,43.1%,U
SGX:AUE,5.31,43.1%,U
SGX:C41,7.31,42.4%,U
SGX:MIJ,6.16,42.0%,U
SGX:T6I,5.68,43.1%,U
SGX:C8R,5.55,43.1%,U
SGX:QES,5.51,43.1%,U
SGX:BHU,5.21,43.1%,U
SGX:P9D,5.73,43.1%,U
SGX:C07,5.82,44.1%,U
SGX:EB5,6.78,43.0%,U
SGX:CHJ,4.88,43.7%,U
SGX:5VS,5.03,43.1%,U
SGX:F34,5.76,43.1%,U
SGX:BFU,5.40,43.1%,U
SGX:5MD,4.57,43.7%,U
SGX:5WJ,5.16,43.1%,U
SGX:O08,5.91,43.1%,U
SGX:500,5.57,44.0%,U
SGX:BTJ,6.43,43.0%,U
SGX:558,6.57,43.2%,O
SGX:BEI,5.25,43.1%,U
SGX:GRQ,3.97,44.5%,U
SGX:MZH,5.12,43.1%,U
SGX:5JS,4.71,43.7%,U
SGX:J36,6.45,42.0%,U
SGX:QSD,4.22,43.7%,U
SGX:O9E,4.41,43.7%,U
SGX:T14,6.60,42.0%,U
SGX:A26,4.94,43.7%,U
SGX:BTX,4.72,44.7%,U
SGX:OU8,5.31,44.9%,U
SGX:8AZ,6.44,42.0%,U
SGX:VC2,4.27,43.7%,U
SGX:F10,4.45,43.7%,U
SGX:5DS,5.47,44.7%,O
SGX:BIP,4.71,43.7%,U
SGX:FRQ,6.03,42.0%,U
SGX:OV8,7.23,42.4%,U
SGX:BTG,4.35,43.7%,U
SGX:D03,3.60,44.5%,U
SGX:XCF,3.76,44.5%,U
SGX:T13,3.70,45.8%,U
SGX:N0Z,4.78,43.7%,U
SGX:Y35,3.64,44.5%,U
SGX:LJ3,4.06,45.8%,O
SGX:5FW,4.37,43.7%,U
SGX:P52,6.07,43.1%,O
SGX:5PO,3.23,44.5%,U
SGX:S7OU,3.86,44.5%,U
SGX:5GI,3.18,44.5%,U
SGX:IX2,4.39,43.7%,U
SGX:OYY,6.84,42.0%,U
SGX:A52,4.52,43.7%,U
SGX:42Z,3.00,46.0%,U
SGX:B69,4.11,43.7%,U
SGX:BTP,4.40,45.8%,O
SGX:P34,6.17,45.1%,O
SGX:5UF,3.24,44.5%,U
SGX:5UL,2.87,46.0%,U
SGX:BQF,3.68,44.5%,U
SGX:MR7,6.50,45.1%,O
SGX:5NG,5.99,47.6%,O
SGX:F03,5.02,44.9%,O
SGX:L03,3.62,46.6%,U
SGX:Z25,3.50,44.5%,U
SGX:ER0,4.26,46.1%,O
SGX:CLN,6.49,43.2%,O
SGX:BSL,6.61,45.1%,O
SGX:1J0,4.38,43.7%,U
SGX:NS8U,4.70,43.7%,U
SGX:40T,6.00,47.6%,O
SGX:D05,6.90,45.1%,O
SGX:5FX,3.90,45.8%,U
SGX:U11,6.46,45.1%,O
SGX:CC3,5.69,44.6%,U
SGX:1A0,2.87,46.0%,U
SGX:BHK,5.00,43.1%,U
SGX:1J4,5.77,47.6%,O
SGX:UD2,4.33,46.1%,O
SGX:528,5.68,47.6%,O
SGX:5CP,5.78,47.6%,O
SGX:BDU,2.72,46.0%,U
SGX:S69,4.24,43.7%,U
SGX:OAJ,4.75,43.7%,U
SGX:1B1,4.79,43.7%,U
SGX:S68,6.60,45.1%,O
SGX:BRS,3.74,44.5%,U
SGX:CHZ,6.16,45.1%,O
SGX:O39,5.85,47.6%,O
SGX:42R,4.20,46.0%,O
SGX:Y92,5.80,47.6%,O
SGX:CGN,6.11,42.0%,U
SGX:F99,4.42,46.0%,O
SGX:CJLU,6.04,45.1%,O
SGX:C04,3.09,45.8%,U
SGX:P74,3.04,45.8%,U
SGX:BLW,3.76,45.8%,U
SGX:BBP,2.86,46.0%,U
SGX:DM0,5.65,43.1%,U
SGX:U96,3.97,46.6%,U
SGX:5PC,3.36,44.5%,U
SGX:AJ2,2.79,46.0%,U
SGX:S19,5.62,44.1%,U
SGX:Y45,2.32,46.0%,U
SGX:P15,4.66,49.4%,O
SGX:U06,4.59,49.4%,O
SGX:5EB,5.45,47.6%,O
SGX:F17,4.10,46.0%,O
SGX:BTM,4.53,46.0%,O
SGX:BIX,3.61,47.0%,O
SGX:S29,4.05,49.4%,O
SGX:42L,4.91,49.4%,O
SGX:WJP,6.15,45.1%,O
SGX:KUO,4.74,43.7%,U
SGX:E5H,5.60,47.6%,O
SGX:AWX,5.92,47.6%,O
SGX:V03,4.92,49.4%,O
SGX:5G3,5.04,47.6%,O
SGX:5ML,5.00,47.6%,O
SGX:A50,4.24,49.4%,O
SGX:5OI,4.68,49.4%,O
SGX:H30,4.01,49.4%,O
SGX:5TJ,4.59,49.4%,O
SGX:1G1,5.15,47.6%,O
SGX:5KI,5.08,47.6%,O
SGX:Z74,4.45,46.0%,O
SGX:569,4.88,43.7%,U
SGX:L23,4.20,49.4%,O
SGX:A55,3.02,47.0%,O
SGX:42E,6.44,45.1%,O
SGX:S44,4.84,46.1%,O
SGX:I15,4.33,49.4%,O
SGX:5LY,4.60,49.4%,O
SGX:AYV,2.32,46.0%,U
SGX:H02,4.22,49.4%,O
SGX:5NV,3.74,44.5%,U
SGX:F13,4.93,46.1%,O
SGX:543,5.38,47.6%,O
SGX:43B,3.18,45.8%,U
SGX:H22,4.35,46.0%,U
SGX:AWC,4.99,49.4%,O
SGX:C52,5.63,47.6%,O
SGX:573,5.22,47.6%,O
SGX:KJ5,1.91,47.7%,U
SGX:S59,4.20,49.4%,O
SGX:566,3.69,50.7%,O
SGX:CRPU,4.70,49.4%,O
SGX:BDA,3.85,50.7%,O
SGX:S63,5.94,47.6%,O
SGX:M04,3.59,50.7%,O
SGX:533,3.58,50.7%,O
SGX:BXE,5.53,45.2%,O
SGX:5NF,4.02,43.7%,U
SGX:5TP,4.85,49.4%,O
SGX:H15,3.48,50.7%,O
SGX:5WA,4.30,49.4%,O
SGX:B28,3.74,50.7%,O
SGX:1E3,3.50,50.7%,O
SGX:N02,3.27,50.7%,O
SGX:BEW,2.91,53.4%,O
SGX:S41,5.33,47.6%,O
SGX:1H8,2.32,53.4%,O
SGX:1D1,3.22,50.7%,O
SGX:1B0,3.22,50.7%,O
SGX:BKA,4.42,49.4%,O
SGX:BJZ,4.54,43.7%,U
SGX:C05,4.54,43.7%,U
SGX:C13,3.17,50.7%,O
SGX:585,3.36,50.7%,O
SGX:BDR,3.58,44.5%,U
SGX:TCU,5.63,47.6%,O
SGX:BCY,5.50,47.6%,O
SGX:5GD,3.50,50.7%,O
SGX:1D0,5.88,43.1%,U
SGX:43Q,3.46,50.7%,O
SGX:N32,3.81,50.7%,O
SGX:5G2,3.94,50.7%,O
SGX:DU4,3.05,50.7%,O
SGX:O10,3.17,50.7%,O
SGX:E6R,3.35,50.7%,O
SGX:TWL,3.79,50.7%,O
SGX:VFP,3.31,50.7%,O
SGX:5AE,2.41,53.4%,O
SGX:NLC,4.21,49.4%,O
SGX:41F,4.14,43.7%,U
SGX:E3B,2.89,53.4%,O
SGX:42C,3.67,50.7%,O
SGX:RE4,5.39,43.1%,U
SGX:BPF,5.19,44.6%,U
SGX:MV4,3.88,44.5%,U
SGX:M03,2.87,53.4%,O
SGX:BRD,1.68,48.3%,O
SGX:S35,3.92,47.3%,O
SGX:F86,4.06,49.4%,O
SGX:I07,5.67,47.6%,O
SGX:B58,3.42,50.7%,O
SGX:43F,3.42,50.7%,O
SGX:U14,3.63,50.7%,O
SGX:5CR,2.72,53.4%,O
SGX:1J5,4.60,49.4%,O
SGX:CNE,3.82,50.7%,O
SGX:LUY,4.79,43.7%,U
SGX:5G1,4.47,49.4%,O
SGX:B9S,4.29,44.9%,U
SGX:5MZ,3.69,50.7%,O
SGX:RXS,2.41,53.4%,O
SGX:AVX,2.40,53.4%,O
SGX:5VJ,2.69,53.4%,O
SGX:1F2,4.44,43.7%,U
SGX:5AI,2.98,53.4%,O
SGX:1H3,2.28,53.4%,O
SGX:AWZ,6.43,42.0%,U
SGX:AP4,6.42,42.0%,U
SGX:Z59,2.88,53.4%,O
SGX:5GZ,2.87,53.4%,O
SGX:5TY,3.09,50.7%,O
SGX:BQM,6.47,42.0%,U
SGX:BKW,2.48,53.4%,O
SGX:Y03,2.64,53.4%,O
SGX:BS6,5.10,44.9%,O
SGX:42N,3.93,50.7%,O
SGX:5UA,1.99,49.5%,U
SGX:NXR,3.90,50.7%,O
SGX:S61,5.32,47.6%,O
SGX:5F7,2.87,53.4%,O
SGX:B26,5.86,43.1%,U
SGX:5RC,2.03,53.4%,O
SGX:BLU,2.61,53.4%,O
SGX:M01,2.26,53.4%,O
SGX:BJV,2.77,53.4%,O
SGX:544,3.80,44.5%,U
SGX:S20,3.58,50.7%,O
SGX:M05,2.98,53.4%,O
SGX:5JK,3.24,50.7%,O
SGX:U09,5.62,43.1%,U
SGX:N01,1.96,57.1%,O
SGX:E28,5.60,43.1%,U
SGX:VI2,3.49,44.5%,U
SGX:TQ5,2.87,53.4%,O
SGX:BN4,3.08,50.7%,O
SGX:5EG,3.62,46.6%,U
SGX:T12,5.29,43.1%,U
SGX:C9Q,5.45,43.1%,U
SGX:5HH,1.96,57.1%,O
SGX:F9D,4.40,49.4%,O
SGX:BN2,4.48,46.0%,O
SGX:5VP,2.03,53.4%,O
SGX:SJY,1.80,57.1%,O
SGX:41B,2.89,47.8%,U
SGX:5UO,3.18,50.7%,O
SGX:41O,5.02,43.1%,U
SGX:5SO,1.75,57.1%,O
SGX:5F4,1.85,57.1%,O
SGX:D8DU,2.84,53.4%,O
SGX:570,3.09,50.7%,O
SGX:564,4.86,43.7%,U
SGX:L02,2.55,53.4%,O
SGX:532,2.17,53.4%,O
SGX:G13,4.26,49.4%,O
SGX:NEX,4.69,43.7%,U
SGX:MF6,3.28,50.7%,O
SGX:BKV,2.26,53.4%,O
SGX:G50,2.94,53.4%,O
SGX:JLB,4.64,43.7%,U
SGX:5I1,1.62,57.1%,O
SGX:U9E,4.54,43.7%,U
SGX:BEZ,2.35,53.4%,O
SGX:S23,3.99,50.7%,O
SGX:QC7,4.41,43.7%,U
SGX:B49,5.00,44.1%,U
SGX:S08,4.70,46.0%,O
SGX:HKB,4.98,45.2%,U
SGX:8K7,4.28,43.7%,U
SGX:42F,1.88,57.1%,O
SGX:N08,3.33,50.7%,O
SGX:U77,4.09,43.7%,U
SGX:1F0,4.08,43.7%,U
SGX:Y3D,4.29,49.4%,O
SGX:BLS,4.96,44.9%,U
SGX:581,2.31,53.4%,O
SGX:BNE,3.95,44.5%,U
SGX:567,3.11,50.7%,O
SGX:C29,2.47,53.4%,O
SGX:G0I,3.06,45.8%,U
SGX:NO4,3.05,50.7%,O
SGX:G92,2.70,53.4%,O
SGX:BHD,1.86,57.1%,O
SGX:502,1.80,57.1%,O
SGX:A30,1.94,57.1%,O
SGX:C6L,2.80,53.4%,O
SGX:G20,3.70,44.5%,U
SGX:RCU,1.58,57.1%,O
SGX:U10,3.80,45.8%,U
SGX:42W,2.70,53.4%,O
SGX:NC2,3.41,44.5%,U
SGX:5SR,3.39,44.5%,U
SGX:L38,1.17,57.1%,O
SGX:H07,3.52,50.7%,O
SGX:1D3,1.47,57.1%,O
SGX:ADN,3.43,50.7%,O
SGX:J03,1.27,57.1%,O
SGX:Y8E,4.47,46.0%,U
SGX:H12,1.42,57.1%,O
SGX:LMS,3.80,50.7%,O
SGX:BQN,3.11,44.5%,U
SGX:J2T,2.91,49.3%,O
SGX:5DD,6.32,43.2%,O
SGX:AVM,1.30,57.1%,O
SGX:5WH,3.85,46.6%,U
SGX:K75,1.39,57.1%,O
SGX:OTX,5.96,47.6%,O
SGX:Q0X,2.49,53.4%,O
SGX:TVV,4.31,45.8%,O
SGX:DRX,2.92,53.4%,O
SGX:5HT,2.77,46.0%,U
SGX:BDX,1.42,57.1%,O
SGX:E9L,1.31,57.1%,O
SGX:AIY,5.93,45.2%,O
SGX:594,1.21,57.1%,O
SGX:5BI,2.41,53.4%,O
SGX:5DM,2.10,53.4%,O
SGX:BAI,1.60,57.1%,O
SGX:A31,0.98,58.0%,O
